gx,gy,gz
32768,10820,2371
-31963,-11022,-26266
-3462,-28211,-1480
6866,14947,5225
-10581,5687,-1020
32767,14714,12815
-2126,-14661,-12198
-9243,28933,-5671
-1456,-9359,1117
18307,9354,29139
8146,3022,12045
-11909,26815,-1724
-32746,32768,-9512
32767,29955,13832
32768,32768,32767
23112,-18656,-24225
-21530,-19945,-10141
-10038,11754,-4485
31487,14743,32768
-17333,-24098,32767
-2588,15553,190
7112,15250,3592
32768,32768,-11131
32767,32767,-15268
31743,32768,10845
32767,6932,-1148
-21879,32767,-17011
-12024,270,2047
10541,-11380,-2569
25177,-16962,2141
8430,514,-6322
-6612,29188,4341
31791,-3705,1318
-428,-6679,6437
-980,-1825,-2544
-12206,8549,-3024
2881,21498,-8009
7341,10383,-315
917,-3994,-4053
-5558,4929,-1715
9605,-4050,1989
5067,-7519,-1589
29943,-12882,5824
8469,5263,11034
-18268,12008,-17686
3930,9000,3502
-12004,878,9241
-6504,-4545,-13111
-27848,11185,15897
32740,-16646,-3100
3508,4567,575
-11348,9906,4109
-1958,6161,424
-2599,6463,1430
-7699,12243,-50
-1156,-493,2817
437,5872,2844
20516,-13788,-6061
-23448,18974,3515
9600,-6507,-3659
-10839,16678,-4980
9570,-3087,-3812
901,-4705,-2113
965,-8342,-2461
2655,-2103,5516
2290,3193,5338
13017,-2743,-1820
6036,-608,-2103
6932,-6051,6102
-10000,-17223,-6348
-11342,7668,-1186
-648,-3325,2285
4465,-31902,8734
-22701,7218,-22670
-17105,-19952,-5647
4677,16256,-5005
20363,-5907,32768
7492,-150,-7278
-18521,26627,-7813
-998,32768,20068
32768,32767,-8166
5414,32768,12124
32768,32767,32768
7990,1235,32767
25492,32767,-31232
-11966,32768,32708
-23355,19704,-5275
2335,-15472,7902
1275,-190,-5460
-177,-2133,-29
3401,2071,-515
-227,828,173
-5529,-16861,-581
-2936,-304,-1284
3272,-9448,2579
9092,20437,-1916
9016,192,-3385
-3168,4480,-3290
-9202,6066,3141
10806,-4505,-2114
4008,-5517,-2064
-1549,-396,-1033
-1892,2676,-40
-2747,6468,3260
-1050,7095,2218
-1332,4762,562
651,-2681,-2583
4362,-111,-89
-1397,2973,-507
1000,-3441,1632
914,-5285,-200
-2456,5877,480
4079,-1807,2304
368,-2709,-19
-303,5118,3166
-1367,-3055,-3143
309,-3942,-762
-2108,4251,1003
-2536,4068,-1721
3522,-3956,-2399
-3698,5400,119
3276,-4610,-1515
-2058,-1524,-4229
548,6510,2119
1321,-672,-1219
422,-8593,-4426
107,883,-1691
-606,509,2257
1545,-842,-580
-674,-543,-425
511,1736,725
2952,-2016,-1817
683,-2577,429
-2190,3947,868
5983,-7314,-1552
-1310,2903,1220
419,1502,107
347,-1953,-521
-683,2810,714
-613,-1828,1011
-419,1471,-2658
-218,-198,3729
434,-710,-840
-1031,461,-2139
1266,810,3750
1095,-295,1442
-1284,494,-2463
-827,755,-220
584,154,1981
-964,798,-1355
671,651,1858
-341,253,-1673
-57,309,1158
195,-575,-298
-962,841,-1588
-390,-627,1483
-73,-470,-210
-159,1978,-80
323,-1267,14
203,-1401,-722
87,1285,422
-420,-406,-813
-123,1372,506
-21,-280,-1646
-541,1269,1079
114,604,-1347
-2013,1044,832
247,-118,-607
-841,435,411
744,-312,102
-453,209,248
572,-534,-501
-734,6,449
-738,219,-797
-227,44,853
316,-471,132
-107,105,-278
-100,1552,-250
170,-1524,-107
-414,186,-675
276,1426,98
1227,890,-92
270,327,-1264
-1785,716,1558
2603,-187,-1088
-321,1048,-1746
-1658,-162,-4662
-4160,919,-6834
-1333,-818,-6173
1427,-484,2246
2606,280,4885
888,-230,5339
690,434,2116
-1606,123,-3863
-2438,325,-6138
-444,155,-1052
1392,586,4962
1168,982,3603
835,-87,1820
-1308,23,-4264
-1481,-172,-5398
624,17,1931
1015,1153,4335
723,325,3648
-24,199,498
-599,1043,-427
628,1091,-1438
2082,-4482,-2040
-3362,802,249
-2881,6019,89
-990,3509,1987
1423,-1244,3234
-220,360,-2401
-3086,2226,-5594
-632,1139,1262
2036,-96,5809
616,-1059,-2913
-2953,993,-6732
-2543,5372,1871
962,2952,3436
2640,-3064,589
2010,-4889,-3451
-1649,-315,-2113
169,3240,1080
756,4644,2158
507,-2030,-1493
-1880,483,-1527
-2531,958,-951
-3465,847,-299
-1573,1747,-2494
-1352,109,-1733
-431,261,-570
-369,-11,501
-648,850,-1657
-667,-84,561
725,201,-315
-1088,172,203
713,344,-581
-533,170,742
437,408,-334
-1019,-29,-327
524,-173,483
-540,351,270
393,-196,-198
-568,956,-658
605,716,72
-1002,88,-314
750,-12,239
-1194,236,-835
471,653,1347
-1009,514,-1348
356,74,1363
-526,-220,-1018
145,1968,622
70,-1079,-776
676,3153,1420
482,-616,-755
-281,1995,155
214,-1923,-698
-992,2186,1827
902,-1089,-477
-277,821,-479
622,207,324
-855,-435,894
-516,210,-1943
976,442,511
-928,282,975
-1012,727,-1801
904,604,-546
-495,-690,2791
-1299,685,-2308
1387,521,574
-761,-822,1414
-754,1055,-3436
1468,260,1552
-741,-775,828
72,1227,-2806
1406,-888,1920
-1481,846,-1176
1229,-152,-745
944,-616,1434
-1623,-319,-844
1370,1008,-1705
690,-487,2722
-1208,768,-2977
1103,-378,2405
-2069,645,-2500
402,176,-897
-1440,-134,714
43,476,-1552
371,-90,1357
-1497,-297,-902
-355,1134,-2193
230,-76,2893
-1192,488,-2278
2223,645,-2036
-448,-50,2068
-1487,992,-937
1376,33,-965
-788,-418,1654
-1234,-162,-964
1418,161,-1785
-206,-119,1908
-825,579,-1441
1719,0,81
-1381,1258,-917
-881,272,-2174
-1277,-151,1478
1602,1876,-4964
-1296,-1939,5137
506,1592,-3578
1234,-450,2398
-2113,985,-1450
1345,-124,-2955
-612,-907,4604
45,1199,-3846
1476,328,2408
-1683,-374,-750
770,5,-2636
-482,-82,2940
-361,1269,-1663
1217,-54,1932
-1103,457,701
1744,1910,-4528
-842,-2120,3432
-198,1903,-3313
274,1526,-622
-1177,-2239,3857
1469,2114,-6495
158,604,2934
-1131,-791,-382
1262,1992,-3693
-3783,-1831,5662
721,1635,-2475
-776,-671,2621
-2800,924,-1631
1938,1460,406
-1305,-2036,-532
804,1789,-5160
-933,-591,2605
-7,10,1033
-961,192,-712
-997,1929,783
-219,-980,957
-672,2346,-3556
123,-844,1305
2869,-2551,9003
-3202,5188,-1531
5184,-7772,-1987
-1145,-472,-211
-3325,8477,3025
2000,-3726,-3173
2509,-3555,-3520
-4996,10475,4524
-960,4610,725
4871,-6299,-4936
-379,-2488,-5944
-9706,-4434,-17181
2844,-1644,-7838
6083,-3825,-4166
-172,-586,1969
-4779,4485,4747
-950,3494,2243
4435,-4050,-2697
4130,-3142,-3910
-6552,5711,2772
729,1232,27
4422,-4162,-2671
-7423,4546,5241
-2326,4788,3507
4122,-1937,-2071
6193,-5499,-3518
-2841,1960,-185
-4929,5942,4717
2334,-1572,165
37,-814,-1234
-387,2211,440
557,178,-867
718,-916,-271
-2926,2291,1345
1453,-1659,-1151
274,1835,262
892,-670,-971
159,332,302
-2383,99,414
4482,-3171,-798
14631,-9456,-2475
10509,-2397,-5017
-8516,2195,11236
-23021,-2102,19296
13330,7161,-19428
-5636,2843,5114
-8613,784,4364
-11852,7575,4632
-7858,14682,5703
-11724,8310,8800
-7942,1830,7678
3984,-2636,-5324
10589,-7742,-9437
5739,-3141,878
3157,-4553,-1578
4076,-4527,-2240
-100,-2438,2132
-6253,10996,3391
844,342,-1322
719,-2481,-13
-334,269,-293
-1138,1830,-743
-1102,-504,1702
-586,1555,-1468
922,1246,2489
-997,-1021,-1117
-910,3442,495
4008,-3926,-1022
-5499,5368,1486
1927,-2697,-656
-880,-3145,794
-3505,5467,1441
5527,-4564,-2391
-422,-145,-311
-3471,6273,1436
1649,-9151,158
-3830,9314,-27
-3522,4141,1556
4834,-8845,-1132
300,-3530,-1487
-4439,8901,778
4276,-3761,-230
1720,-5646,-570
-3395,12082,-1808
-1672,6145,2087
6915,-9819,-253
-1889,1882,-786
-4421,7637,115
3615,-2350,704
2518,-6306,-1089
-1813,9306,186
-554,3055,94
2937,-7416,-2023
-5006,4960,1446
262,-180,-1113
-2962,2477,875
726,-2675,-1407
-1997,2644,1252
979,-18,-829
957,1676,368
174,506,187
-17,385,-396
-340,1984,389
345,-2941,-497
419,1532,126
934,-826,-638
389,5796,-65
-745,-560,-1021
1671,-3304,953
2178,-108,50
971,2857,1625
1535,-1262,-733
-181,1295,700
1241,2471,542
-2002,-1352,430
-699,4191,159
2542,-1445,17
156,2640,1208
802,-578,-111
1715,2713,-2901
-1257,372,1365
1267,-71,-2302
162,3200,95
-3242,-254,-142
1069,-1687,-38
1974,2812,-719
227,-1145,-1846
729,2050,1286
670,156,542
-1539,-3231,1113
-551,1745,-101
10,-1149,-391
161,3018,1486
1501,-600,-80
-896,-2195,-9
997,1359,1059
922,-1906,-2735
-1302,1237,2396
5189,-3025,-3123
-797,10170,2748
2817,-3254,-5845
-432,4596,4332
3690,-473,-2401
808,1207,-1512
-1279,548,1502
131,911,-1420
2646,2423,-2608
68,-337,1586
2970,1822,-2095
-1013,-770,2295
-551,-535,379
315,558,136
4056,-624,6095
-3671,-17296,-110
17577,22847,-3067
-6681,13917,4090
-8674,6300,-4089
-994,25170,-13137
32768,-2404,-3742
-2308,-16610,407
-312,776,-9931
-473,2970,-2418
-1288,-814,-2177
-425,-748,-8450
-496,4110,2597
1844,-2060,-2264
4378,7471,374
-70,-2904,1447
4583,-1221,1663
160,158,1286
1116,2193,1834
-154,-740,676
248,-246,-977
2845,657,-1884
-2557,986,5870
5235,1992,-2500
-965,-99,4787
82,-3805,-859
9472,6156,-2669
4431,-406,5161
-1264,2140,-8084
-1416,-2549,9002
155,-212,5145
1154,2516,-6359
-645,809,5801
2188,1803,-4942
430,674,11099
-830,-818,-5531
2064,-398,4203
2279,-2661,-5071
-474,5352,30
3754,1788,759
-1022,-5538,-532
2440,5696,2273
1693,-2503,-2882
1606,4315,3663
3908,-4646,8029
-3378,-762,2543
446,546,-29
75,243,-142
180,316,-485
-390,2,-3
-184,288,82
185,283,-127
-294,248,128
-217,298,-42
-171,240,-40
-190,275,-32
-399,322,138
-487,148,82
-150,219,-73
-62,307,-96
-121,221,-113
-293,84,-185
